Frequency (Hz),FFT Magnitude (dB)
833.01,-68.706
833.98,-69.312
834.96,-68.925
835.94,-68.495
836.91,-67.731
837.89,-68.623
838.87,-68.039
839.84,-68.686
840.82,-67.292
841.80,-68.023
842.77,-68.018
843.75,-68.512
844.73,-68.681
845.70,-68.118
846.68,-67.992
847.66,-67.226
848.63,-68.123
849.61,-68.109
850.59,-67.453
851.56,-67.638
852.54,-66.475
853.52,-67.042
854.49,-66.234
855.47,-67.774
856.45,-66.468
857.42,-68.244
858.40,-66.982
859.38,-66.925
860.35,-67.756
861.33,-66.561
862.30,-65.915
863.28,-66.341
864.26,-66.089
865.23,-66.403
866.21,-66.561
867.19,-67.204
868.16,-66.479
869.14,-66.538
870.12,-65.750
871.09,-65.462
872.07,-66.121
873.05,-66.475
874.02,-64.924
875.00,-65.328
875.98,-65.594
876.95,-65.176
877.93,-64.217
878.91,-64.531
879.88,-66.183
880.86,-65.157
881.84,-64.936
882.81,-64.418
883.79,-64.050
884.77,-62.842
885.74,-63.928
886.72,-63.562
887.70,-63.991
888.67,-63.375
889.65,-63.007
890.62,-63.397
891.60,-61.897
892.58,-63.219
893.55,-62.281
894.53,-62.360
895.51,-63.399
896.48,-62.889
897.46,-62.687
898.44,-62.717
899.41,-61.938
900.39,-62.720
901.37,-62.418
902.34,-60.959
903.32,-60.988
904.30,-60.441
905.27,-60.428
906.25,-60.497
907.23,-60.507
908.20,-60.970
909.18,-60.213
910.16,-60.690
911.13,-61.141
912.11,-59.826
913.09,-59.497
914.06,-59.532
915.04,-59.985
916.02,-58.509
916.99,-59.437
917.97,-59.601
918.95,-58.980
919.92,-59.042
920.90,-58.351
921.88,-57.408
922.85,-58.276
923.83,-57.811
924.80,-56.773
925.78,-57.298
926.76,-57.407
927.73,-56.330
928.71,-55.461
929.69,-56.124
930.66,-55.163
931.64,-56.706
932.62,-56.300
933.59,-56.420
934.57,-57.070
935.55,-55.699
936.52,-56.434
937.50,-55.641
938.48,-54.481
939.45,-55.710
940.43,-54.340
941.41,-56.689
942.38,-55.378
943.36,-56.475
944.34,-56.822
945.31,-56.370
946.29,-56.786
947.27,-55.756
948.24,-55.813
949.22,-56.891
950.20,-56.169
951.17,-55.890
952.15,-56.931
953.12,-56.163
954.10,-56.759
955.08,-57.506
956.05,-57.485
957.03,-57.118
958.01,-57.877
958.98,-57.808
959.96,-57.349
960.94,-58.031
961.91,-56.651
962.89,-57.542
963.87,-58.916
964.84,-59.383
965.82,-59.317
966.80,-60.191
967.77,-60.380
968.75,-59.883
969.73,-60.507
970.70,-60.787
971.68,-59.795
972.66,-59.666
973.63,-59.846
974.61,-60.286
975.59,-61.202
976.56,-61.393
977.54,-61.438
978.52,-62.754
979.49,-60.916
980.47,-61.081
981.45,-61.383
982.42,-61.689
983.40,-63.355
984.38,-63.169
985.35,-62.732
986.33,-63.300
987.30,-62.915
988.28,-62.571
989.26,-63.904
990.23,-62.479
991.21,-61.921
992.19,-62.175
993.16,-63.054
994.14,-63.336
995.12,-63.613
996.09,-64.729
997.07,-64.078
998.05,-63.835
999.02,-64.306
1000.00,-63.524
1000.98,-64.015
1001.95,-64.740
1002.93,-65.058
1003.91,-63.419
1004.88,-65.568
1005.86,-65.131
1006.84,-65.072
1007.81,-64.308
1008.79,-64.849
1009.77,-66.068
1010.74,-66.053
1011.72,-65.530
1012.70,-65.241
1013.67,-65.281
1014.65,-65.806
1015.62,-66.366
1016.60,-65.880
1017.58,-65.321
1018.55,-66.477
1019.53,-66.127
1020.51,-67.596
1021.48,-66.943
1022.46,-66.385
1023.44,-66.701
1024.41,-65.914
1025.39,-66.440
1026.37,-66.332
1027.34,-66.325
1028.32,-67.589
1029.30,-66.273
1030.27,-67.295
1031.25,-68.117
1032.23,-66.687
1033.20,-66.979
1034.18,-66.743
1035.16,-67.282
1036.13,-68.048
1037.11,-67.928
1038.09,-67.260
1039.06,-68.334
1040.04,-67.700
1041.02,-67.473
1041.99,-68.440
1042.97,-67.905
1043.95,-67.078
1044.92,-67.617
1045.90,-67.045
1046.88,-68.009
1047.85,-66.577
1048.83,-68.130
1049.80,-67.845
1050.78,-67.416
1051.76,-67.712
1052.73,-68.506
1053.71,-68.150
1054.69,-68.180
1055.66,-68.148
1056.64,-67.913
1057.62,-69.345
1058.59,-69.004
1059.57,-67.277
1060.55,-68.594
1061.52,-67.908
1062.50,-68.717
1063.48,-69.753
1064.45,-69.897
1065.43,-68.234
1066.41,-68.987
1067.38,-69.758
1068.36,-69.494
1069.34,-68.701
1070.31,-68.846
1071.29,-68.831
1072.27,-68.129
1073.24,-70.061
1074.22,-69.028
1075.20,-69.060
1076.17,-69.214
1077.15,-69.554
1078.12,-69.897
1079.10,-69.836
1080.08,-69.045
1081.05,-68.106
1082.03,-69.289
1083.01,-68.718
1083.98,-68.942
1084.96,-70.304
1085.94,-69.128
1086.91,-68.038
1087.89,-70.584
1088.87,-69.170
1089.84,-70.258
1090.82,-68.929
1091.80,-69.937
1092.77,-68.714
1093.75,-69.096
1094.73,-69.334
1095.70,-69.712
1096.68,-69.310
1097.66,-70.145
1098.63,-69.694
1099.61,-69.640
1100.59,-70.614
1101.56,-69.405
1102.54,-70.138
1103.52,-69.810
1104.49,-69.030
1105.47,-68.904
1106.45,-69.635
1107.42,-69.588
1108.40,-69.863
1109.38,-69.049
1110.35,-68.654
1111.33,-69.112
1112.30,-69.594
1113.28,-71.934
1114.26,-69.987
1115.23,-70.884
1116.21,-70.588
1117.19,-69.808
1118.16,-69.950
1119.14,-70.136
1120.12,-71.555
1121.09,-70.338
1122.07,-71.355
1123.05,-71.196
1124.02,-71.206
1125.00,-70.297
1125.98,-69.733
1126.95,-70.953
1127.93,-69.830
1128.91,-69.041
1129.88,-70.656
1130.86,-69.653
1131.84,-71.090
1132.81,-71.241
1133.79,-70.158
1134.77,-70.533
1135.74,-69.818
1136.72,-70.748
1137.70,-70.916
1138.67,-69.994
1139.65,-70.012
1140.62,-71.117
1141.60,-71.203
1142.58,-70.083
1143.55,-71.573
1144.53,-71.867
1145.51,-71.049
1146.48,-70.387
1147.46,-71.455
1148.44,-69.882
1149.41,-70.076
1150.39,-70.575
1151.37,-70.085
1152.34,-71.393
1153.32,-70.922
1154.30,-70.857
1155.27,-70.067
1156.25,-70.419
1157.23,-69.872
1158.20,-70.263
1159.18,-70.557
1160.16,-68.569
1161.13,-70.326
1162.11,-69.802
1163.09,-70.536
1164.06,-69.625
1165.04,-69.569
1166.02,-69.349
1166.99,-70.336
1167.97,-70.226
1168.95,-70.422
1169.92,-69.993
1170.90,-70.000
1171.88,-70.167
1172.85,-69.768
1173.83,-70.173
1174.80,-71.793
1175.78,-69.842
1176.76,-70.430
1177.73,-71.448
1178.71,-69.951
1179.69,-69.825
1180.66,-68.996
1181.64,-71.181
1182.62,-69.530
1183.59,-69.297
1184.57,-69.565
1185.55,-70.704
1186.52,-69.996
1187.50,-70.083
1188.48,-69.549
1189.45,-69.893
1190.43,-70.592
1191.41,-69.453
1192.38,-69.862
1193.36,-69.794
1194.34,-70.052
1195.31,-69.596
1196.29,-68.997
1197.27,-70.315
1198.24,-69.667
1199.22,-68.306
1200.20,-68.925
1201.17,-68.279
1202.15,-69.029
1203.12,-69.573
1204.10,-69.665
1205.08,-68.660
1206.05,-70.244
1207.03,-69.967
1208.01,-69.561
1208.98,-70.480
1209.96,-69.494
1210.94,-70.384
1211.91,-69.678
1212.89,-70.463
1213.87,-68.758
1214.84,-69.498
1215.82,-69.419
1216.80,-69.154
1217.77,-69.573
1218.75,-69.502
1219.73,-68.515
1220.70,-68.049
1221.68,-69.048
1222.66,-68.069
1223.63,-70.457
1224.61,-67.808
1225.59,-69.665
1226.56,-69.436
1227.54,-68.792
1228.52,-69.597
1229.49,-68.574
1230.47,-68.042
1231.45,-68.748
1232.42,-67.883
1233.40,-67.507
1234.38,-68.420
1235.35,-68.931
1236.33,-68.473
1237.30,-69.656
1238.28,-68.125
1239.26,-68.702
1240.23,-68.272
1241.21,-68.267
1242.19,-67.790
1243.16,-68.744
1244.14,-68.324
1245.12,-67.706
1246.09,-67.149
1247.07,-67.479
1248.05,-67.839
1249.02,-67.234
1250.00,-67.255
1250.98,-68.326
1251.95,-67.134
1252.93,-67.392
1253.91,-67.941
1254.88,-67.730
1255.86,-68.098
1256.84,-67.135
1257.81,-68.533
1258.79,-67.493
1259.77,-67.365
1260.74,-67.603
1261.72,-68.336
1262.70,-68.202
1263.67,-66.683
1264.65,-67.232
1265.62,-67.647
1266.60,-66.211
1267.58,-66.839
1268.55,-66.568
1269.53,-66.891
1270.51,-65.988
1271.48,-65.993
1272.46,-65.428
1273.44,-66.843
1274.41,-65.308
1275.39,-66.589
1276.37,-66.781
1277.34,-67.314
1278.32,-66.054
1279.30,-66.576
1280.27,-66.446
1281.25,-66.548
1282.23,-65.479
1283.20,-66.326
1284.18,-66.229
1285.16,-66.248
1286.13,-65.447
1287.11,-66.214
1288.09,-65.873
1289.06,-66.190
1290.04,-64.715
1291.02,-64.127
1291.99,-64.823
1292.97,-65.836
1293.95,-65.641
1294.92,-67.214
1295.90,-65.610
1296.88,-66.017
1297.85,-65.327
1298.83,-65.186
1299.80,-65.216
1300.78,-63.894
1301.76,-64.591
1302.73,-64.121
1303.71,-64.009
1304.69,-64.606
1305.66,-65.010
1306.64,-64.550
1307.62,-63.719
1308.59,-63.662
1309.57,-63.916
1310.55,-63.246
1311.52,-63.526
1312.50,-63.524
1313.48,-63.799
1314.45,-63.052
1315.43,-63.465
1316.41,-61.661
1317.38,-61.349
1318.36,-62.756
1319.34,-62.588
1320.31,-63.994
1321.29,-62.660
1322.27,-63.503
1323.24,-63.637
1324.22,-63.759
1325.20,-62.974
1326.17,-61.388
1327.15,-62.135
1328.12,-60.426
1329.10,-60.128
1330.08,-62.535
1331.05,-60.520
1332.03,-61.172
1333.01,-61.596
1333.98,-61.714
1334.96,-61.101
1335.94,-60.676
1336.91,-61.955
1337.89,-61.291
1338.87,-61.282
1339.84,-60.090
1340.82,-60.358
1341.80,-60.162
1342.77,-60.193
1343.75,-58.688
1344.73,-59.672
1345.70,-59.460
1346.68,-59.656
1347.66,-59.096
1348.63,-59.086
1349.61,-59.904
1350.59,-58.613
1351.56,-58.064
1352.54,-58.536
1353.52,-57.796
1354.49,-56.328
1355.47,-57.418
1356.45,-56.997
1357.42,-56.920
1358.40,-56.892
1359.38,-55.405
1360.35,-56.595
1361.33,-56.529
1362.30,-55.403
1363.28,-56.134
1364.26,-55.456
1365.23,-54.037
1366.21,-54.944
1367.19,-55.172
1368.16,-54.889
1369.14,-54.095
1370.12,-54.737
1371.09,-54.035
1372.07,-52.963
1373.05,-53.501
1374.02,-53.200
1375.00,-52.774
1375.98,-53.376
1376.95,-51.888
1377.93,-52.767
1378.91,-52.322
1379.88,-51.002
1380.86,-51.383
1381.84,-52.137
1382.81,-51.404
1383.79,-51.798
1384.77,-51.842
1385.74,-51.882
1386.72,-51.224
1387.70,-52.000
1388.67,-51.809
1389.65,-51.098
1390.62,-52.371
1391.60,-52.620
1392.58,-52.181
1393.55,-52.732
1394.53,-51.292
1395.51,-52.619
1396.48,-53.733
1397.46,-52.441
1398.44,-53.834
1399.41,-52.732
1400.39,-52.959
1401.37,-52.971
1402.34,-53.325
1403.32,-53.379
1404.30,-51.967
1405.27,-52.733
1406.25,-53.857
1407.23,-55.338
1408.20,-54.028
1409.18,-53.643
1410.16,-55.131
1411.13,-54.969
1412.11,-55.081
1413.09,-55.656
1414.06,-57.044
1415.04,-55.890
