Frequency (Hz),FFT Magnitude (dB)
814.45,-69.696
815.43,-69.802
816.41,-69.807
817.38,-69.533
818.36,-69.221
819.34,-69.876
820.31,-70.046
821.29,-69.705
822.27,-69.023
823.24,-70.491
824.22,-69.709
825.20,-68.810
826.17,-68.632
827.15,-69.197
828.12,-68.304
829.10,-68.381
830.08,-69.223
831.05,-68.903
832.03,-68.887
833.01,-69.753
833.98,-68.666
834.96,-69.125
835.94,-68.230
836.91,-68.319
837.89,-67.016
838.87,-68.407
839.84,-68.498
840.82,-68.347
841.80,-68.111
842.77,-67.623
843.75,-68.925
844.73,-67.235
845.70,-68.432
846.68,-68.588
847.66,-67.079
848.63,-67.563
849.61,-68.221
850.59,-68.064
851.56,-67.212
852.54,-67.496
853.52,-68.933
854.49,-66.794
855.47,-69.031
856.45,-68.429
857.42,-68.016
858.40,-68.208
859.38,-67.774
860.35,-67.388
861.33,-67.449
862.30,-67.276
863.28,-66.975
864.26,-67.381
865.23,-66.711
866.21,-67.492
867.19,-67.054
868.16,-66.199
869.14,-67.688
870.12,-67.528
871.09,-66.288
872.07,-67.129
873.05,-65.878
874.02,-66.232
875.00,-66.941
875.98,-66.260
876.95,-65.307
877.93,-65.932
878.91,-65.655
879.88,-65.786
880.86,-65.516
881.84,-64.990
882.81,-65.049
883.79,-64.825
884.77,-65.330
885.74,-64.297
886.72,-65.008
887.70,-62.952
888.67,-64.663
889.65,-63.992
890.62,-64.180
891.60,-64.512
892.58,-63.990
893.55,-63.132
894.53,-62.927
895.51,-64.236
896.48,-64.771
897.46,-64.314
898.44,-62.832
899.41,-63.572
900.39,-62.133
901.37,-62.848
902.34,-62.612
903.32,-61.889
904.30,-62.577
905.27,-63.160
906.25,-62.113
907.23,-61.438
908.20,-61.184
909.18,-60.988
910.16,-60.327
911.13,-59.959
912.11,-60.435
913.09,-61.044
914.06,-60.219
915.04,-60.207
916.02,-60.037
916.99,-60.063
917.97,-59.299
918.95,-59.512
919.92,-60.536
920.90,-58.733
921.88,-59.231
922.85,-58.622
923.83,-59.444
924.80,-58.619
925.78,-60.134
926.76,-58.471
927.73,-56.722
928.71,-56.113
929.69,-57.247
930.66,-57.766
931.64,-57.170
932.62,-56.128
933.59,-57.094
934.57,-58.010
935.55,-57.031
936.52,-57.191
937.50,-55.532
938.48,-56.884
939.45,-55.784
940.43,-57.550
941.41,-55.518
942.38,-55.619
943.36,-56.723
944.34,-55.855
945.31,-55.646
946.29,-55.283
947.27,-54.921
948.24,-55.792
949.22,-55.351
950.20,-54.938
951.17,-56.934
952.15,-56.018
953.12,-57.776
954.10,-55.725
955.08,-56.013
956.05,-55.725
957.03,-57.005
958.01,-56.734
958.98,-56.300
959.96,-56.254
960.94,-56.787
961.91,-56.618
962.89,-57.501
963.87,-57.264
964.84,-58.209
965.82,-58.556
966.80,-57.099
967.77,-57.642
968.75,-58.123
969.73,-57.416
970.70,-57.952
971.68,-58.294
972.66,-59.734
973.63,-58.637
974.61,-60.276
975.59,-59.501
976.56,-59.566
977.54,-60.490
978.52,-60.190
979.49,-59.683
980.47,-61.628
981.45,-60.409
982.42,-61.138
983.40,-61.744
984.38,-60.545
985.35,-61.702
986.33,-60.706
987.30,-61.040
988.28,-62.615
989.26,-61.286
990.23,-61.461
991.21,-61.882
992.19,-62.289
993.16,-62.798
994.14,-62.965
995.12,-63.004
996.09,-63.477
997.07,-62.809
998.05,-63.283
999.02,-62.398
1000.00,-63.550
1000.98,-63.214
1001.95,-63.729
1002.93,-63.256
1003.91,-63.229
1004.88,-63.996
1005.86,-63.857
1006.84,-63.653
1007.81,-64.585
1008.79,-64.646
1009.77,-65.261
1010.74,-64.485
1011.72,-65.243
1012.70,-65.070
1013.67,-64.835
1014.65,-64.087
1015.62,-64.576
1016.60,-65.345
1017.58,-65.635
1018.55,-64.546
1019.53,-65.615
1020.51,-65.595
1021.48,-64.496
1022.46,-66.103
1023.44,-64.871
1024.41,-67.080
1025.39,-65.932
1026.37,-65.908
1027.34,-65.973
1028.32,-66.229
1029.30,-66.553
1030.27,-67.350
1031.25,-65.946
1032.23,-65.204
1033.20,-66.962
1034.18,-67.275
1035.16,-66.488
1036.13,-67.181
1037.11,-65.748
1038.09,-66.388
1039.06,-66.393
1040.04,-67.179
1041.02,-67.912
1041.99,-67.591
1042.97,-67.521
1043.95,-66.787
1044.92,-67.155
1045.90,-67.363
1046.88,-68.416
1047.85,-67.552
1048.83,-67.355
1049.80,-68.407
1050.78,-68.720
1051.76,-69.707
1052.73,-67.753
1053.71,-67.212
1054.69,-67.803
1055.66,-68.136
1056.64,-67.395
1057.62,-67.364
1058.59,-68.600
1059.57,-68.441
1060.55,-67.980
1061.52,-68.446
1062.50,-68.712
1063.48,-67.581
1064.45,-68.926
1065.43,-67.392
1066.41,-69.509
1067.38,-69.276
1068.36,-69.369
1069.34,-68.071
1070.31,-68.040
1071.29,-68.501
1072.27,-69.248
1073.24,-69.211
1074.22,-68.664
