Frequency (Hz),FFT Magnitude (dB)
825.20,-73.476
826.17,-73.121
827.15,-72.652
828.12,-72.696
829.10,-72.302
830.08,-73.558
831.05,-74.998
832.03,-74.661
833.01,-72.753
833.98,-74.137
834.96,-72.317
835.94,-73.875
836.91,-74.600
837.89,-73.052
838.87,-72.773
839.84,-72.491
840.82,-72.652
841.80,-71.783
842.77,-73.138
843.75,-74.795
844.73,-72.599
845.70,-73.563
846.68,-73.588
847.66,-73.901
848.63,-74.700
849.61,-72.984
850.59,-72.420
851.56,-72.543
852.54,-73.388
853.52,-72.959
854.49,-73.420
855.47,-72.318
856.45,-73.839
857.42,-72.817
858.40,-72.557
859.38,-73.514
860.35,-74.092
861.33,-73.262
862.30,-73.110
863.28,-73.908
864.26,-72.502
865.23,-72.709
866.21,-73.332
867.19,-71.801
868.16,-72.340
869.14,-73.712
870.12,-73.603
871.09,-72.265
872.07,-73.004
873.05,-72.688
874.02,-73.919
875.00,-72.977
875.98,-73.575
876.95,-72.253
877.93,-71.796
878.91,-73.770
879.88,-73.250
880.86,-72.323
881.84,-73.400
882.81,-73.335
883.79,-72.778
884.77,-73.742
885.74,-73.307
886.72,-72.640
887.70,-73.648
888.67,-72.955
889.65,-72.452
890.62,-72.552
891.60,-73.142
892.58,-73.017
893.55,-73.125
894.53,-73.507
895.51,-72.914
896.48,-72.521
897.46,-73.348
898.44,-73.296
899.41,-73.644
900.39,-73.478
901.37,-71.349
902.34,-72.153
903.32,-72.377
904.30,-73.624
905.27,-71.880
906.25,-72.586
907.23,-72.148
908.20,-72.233
909.18,-72.325
910.16,-72.681
911.13,-71.765
912.11,-73.281
913.09,-73.232
914.06,-73.301
915.04,-71.207
916.02,-71.975
916.99,-73.133
917.97,-73.165
918.95,-72.209
919.92,-72.753
920.90,-72.433
921.88,-72.659
922.85,-72.475
923.83,-71.598
924.80,-72.564
925.78,-72.349
926.76,-72.389
927.73,-71.583
928.71,-71.796
929.69,-71.538
